Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales,source,Item_Visibility_MeanRatio,Outlet_Lifetime,Outlet_Identifier,Item_Fat_Content_Regular,Item_Fat_Content_bad,Item_Type_Extracted_FD,Item_Type_Extracted_NC,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049
NCL17,7.39,0.067779712,Health and Hygiene,143.8812,1997,3134.5864,train,0.8747287887220742,28,OUT046,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDM40,10.195,0.159803853,Frozen Foods,141.5154,1987,850.8924,train,0.9328773848835529,38,OUT013,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDR13,9.895,0.028696932,Canned,117.0492,1987,810.9444,train,0.8740008759338731,38,OUT013,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDA43,10.895,0.065041581,Fruits and Vegetables,196.3794,2007,3121.2704,train,0.8796766099576357,18,OUT017,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
NCP18,12.15,0.028760013,Household,151.4708,2007,4815.0656,train,0.9275067647960545,18,OUT017,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDK21,7.905,0.010053105,Snack Foods,249.0408,2009,6258.52,train,0.9334195624341675,16,OUT018,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
NCX54,9.195,0.048157338,Household,106.1622,2002,2117.244,train,0.9315179298292239,23,OUT045,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
DRK35,8.365,0.071958197,Hard Drinks,38.0506,1999,796.9626,train,0.8760887617519185,26,OUT049,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDY21,15.1,0.173481304,Snack Foods,194.511,1997,4910.275,train,0.9513858526903725,28,OUT046,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDI26,5.94,0.061082177,Canned,180.0344,1985,892.172,train,1.6148105887521402,40,OUT019,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDM20,10.0,0.0364918673,Fruits and Vegetables,246.9144,2009,3185.1872,train,0.8333333333333334,16,OUT018,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDV27,7.97,0.040071131,Meat,87.3514,2002,1062.6168,train,0.8503936434710149,23,OUT045,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDF09,6.215,0.012090074,Fruits and Vegetables,38.2848,1985,484.7024,train,0.9251308536486635,40,OUT027,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDY40,15.5,0.15028599,Frozen Foods,51.0692,1985,147.8076,train,1.5474933749123494,40,OUT019,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDY45,17.5,0.026015519,Snack Foods,255.8356,1985,2543.356,train,0.9538823918231123,40,OUT027,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDC46,17.7,0.195068226,Snack Foods,185.4266,1998,184.4266,train,1.5560143953260468,27,OUT010,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FDH19,19.35,0.033082215,Meat,172.5738,2004,4865.6664,train,0.9221155127052101,21,OUT035,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
FDZ03,13.65,0.078946455,Dairy,186.024,2002,1118.544,train,0.9281228332853192,23,OUT045,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH37,17.6,0.041700756,Soft Drinks,164.8526,2002,2302.3364,train,0.8765027640696679,23,OUT045,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
NCI17,8.645,0.143422643,Health and Hygiene,95.841,1997,2027.361,train,0.9249991148310271,28,OUT046,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDJ58,15.6,0.105296072,Snack Foods,170.1764,1997,3435.528,train,0.8747287875118144,28,OUT046,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDL12,15.85,0.121531501,Baking Goods,59.222,1987,599.22,train,0.8740008619873568,38,OUT013,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDH35,18.25,0.05810121044444445,Starchy Foods,164.7526,2002,4604.6728,train,0.9,23,OUT045,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDG02,7.855,0.011324862,Canned,189.6188,2007,2285.0256,train,0.9275067286121008,18,OUT017,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
NCZ18,7.825,0.186357148,Household,254.3698,1999,5580.7356,train,0.9268713929240054,26,OUT049,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDC29,8.39,0.024205661,Frozen Foods,114.0176,1997,2290.352,train,0.9990697616442725,28,OUT046,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDQ10,12.85,0.033230816,Snack Foods,172.3422,1999,1207.0954,train,0.9237238339071363,26,OUT049,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDN48,13.35,0.113720344,Baking Goods,89.9804,1985,643.1628,train,1.5315372016230426,40,OUT019,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDL04,19.0,0.112556507,Frozen Foods,104.9622,2007,1587.933,train,0.9275067671896535,18,OUT017,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV25,5.905,0.04441604033333333,Canned,222.5456,2002,5305.0944,train,0.8999999999999999,23,OUT045,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD58,7.76,0.059352241,Snack Foods,101.87,1997,1697.79,train,0.8747287866525949,28,OUT046,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN04,11.8,0.014087057,Frozen Foods,180.3344,1997,1427.4752,train,1.0147657505784495,28,OUT046,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDV45,16.75,0.045230944,Snack Foods,187.9556,2009,4693.89,train,0.9260469457443702,16,OUT018,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
NCL18,18.85,0.293417759,Household,194.6136,1985,583.2408,train,1.6148105893820424,40,OUT019,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDR12,12.6,0.031382044,Baking Goods,171.3764,1985,3091.9752,train,0.8704928746102873,40,OUT027,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDG20,15.5,0.12639886,Fruits and Vegetables,177.0028,2007,2479.4392,train,0.9348909885210056,18,OUT017,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ55,6.055,0.025403898,Fruits and Vegetables,160.992,2004,2716.464,train,0.9988808402357966,21,OUT035,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
FDQ49,20.2,0.039057677,Breakfast,155.963,1985,3285.723,train,0.8673835674751831,40,OUT027,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDN33,6.305,0.123115764,Snack Foods,95.6436,1997,661.8052,train,0.9990697475981462,28,OUT046,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN27,20.85,0.039624006,Meat,117.2808,1999,1523.3504,train,0.9517970383470621,26,OUT049,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDW20,20.75,0.040421193,Fruits and Vegetables,122.173,1998,369.519,train,1.5617277461640404,27,OUT010,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DRG27,8.895,0.105274111,Dairy,39.9138,1999,690.4346,train,0.9267038048585214,26,OUT049,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRI25,19.6,0.033970195,Soft Drinks,55.1614,2002,1381.535,train,0.9315179184271947,23,OUT045,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDA44,19.7,0.053212652,Fruits and Vegetables,57.893,2004,622.523,train,0.9294568248579793,21,OUT035,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
NCR17,9.8,0.024378706,Health and Hygiene,114.5492,2004,1274.3412,train,0.9988808191929445,21,OUT035,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
FDU04,7.93,0.009714595,Frozen Foods,120.0414,1985,487.3656,train,1.6626731919645845,40,OUT019,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDF41,12.15,0.131383762,Frozen Foods,246.046,1999,1231.73,train,0.8760887632599259,26,OUT049,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDB56,8.75,0.07461309,Fruits and Vegetables,187.4556,2004,3755.112,train,1.0139005933372311,21,OUT035,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
NCP18,12.15,0.028459761,Household,149.9708,1985,4363.6532,train,0.9178236759482314,40,OUT027,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDB56,8.75,0.074627201,Fruits and Vegetables,187.8556,1997,1314.2892,train,1.0140923445604089,28,OUT046,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDT28,13.3,0.063695084,Frozen Foods,151.0708,2002,1805.6496,train,0.9241603474535889,23,OUT045,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD10,20.6,0.045797829,Snack Foods,178.5344,1985,2854.9504,train,0.9285074606550529,40,OUT027,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDW57,8.31,0.115857223,Snack Foods,179.1028,1999,3896.2616,train,1.0163708730830925,26,OUT049,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRB48,16.75,0.024832806,Soft Drinks,38.7822,1987,667.7974,train,0.9322695631328209,38,OUT013,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDP09,19.75,0.034027909,Snack Foods,212.0902,2009,3185.853,train,0.8782920653990081,16,OUT018,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDH14,17.1,0.0467696,Canned,141.1838,1987,2247.7408,train,0.8740008565954394,38,OUT013,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDA47,10.5,0.116576702,Baking Goods,163.121,1987,1794.331,train,0.9242793113988635,38,OUT013,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDG12,6.635,0.004924115333333334,Baking Goods,121.3098,2002,2530.7058,train,0.8181818181818182,23,OUT045,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
DRE60,9.395,0.278974075,Soft Drinks,225.372,1985,679.116,train,1.6148105888188795,40,OUT019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DRK49,14.15,0.035913805,Soft Drinks,41.4138,1987,812.276,train,0.938241400037113,38,OUT013,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDD03,13.3,0.079806266,Dairy,232.53,1997,699.09,train,0.9990697472460142,28,OUT046,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS52,8.89,0.005505481,Frozen Foods,102.4016,2007,2732.4432,train,0.8796765744587313,18,OUT017,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDW39,6.69,0.064625342,Meat,176.937,1985,176.437,train,1.7376946555050123,40,OUT019,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDX34,6.195,0.071636937,Snack Foods,121.7098,1985,4097.3332,train,0.9942317071612333,40,OUT027,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDV11,9.1,0.078393078375,Breads,173.2054,2002,3151.8972,train,0.888888888888889,23,OUT045,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD17,7.5,0.032677678,Frozen Foods,239.0906,1999,5942.265,train,0.8727739383621287,26,OUT049,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDZ16,16.85,0.160760054,Frozen Foods,192.4478,2007,4843.695,train,0.8767064446129036,18,OUT017,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ46,7.485,0.06911065,Snack Foods,109.0228,2004,2542.0244,train,0.9988808423019976,21,OUT035,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
DRA12,11.6,0.041177505,Soft Drinks,140.3154,2007,2552.6772,train,0.9643049356473629,18,OUT017,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDY58,11.65,0.040081193,Snack Foods,227.0694,2009,1141.847,train,0.8782920723575601,16,OUT018,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
NCF19,13.0,0.035307322,Household,47.5034,2007,680.4476,train,0.8796766231887589,18,OUT017,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
DRJ13,12.65,0.063017847,Soft Drinks,159.0578,2002,2085.9514,train,0.9315179229166382,23,OUT045,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDB14,20.25,0.171938781,Canned,92.512,1998,186.424,train,1.5717317089480713,27,OUT010,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FDJ38,8.6,0.040197932,Canned,190.153,2004,3036.048,train,0.9241490579427503,21,OUT035,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
FDW11,12.6,0.049058014,Breads,62.7194,2007,866.8716,train,0.934890991604278,18,OUT017,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDL40,17.7,0.01161096,Frozen Foods,95.041,2004,868.869,train,0.9603681061035344,21,OUT035,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
DRI49,14.15,0.183507295,Soft Drinks,82.4276,1997,1137.1864,train,0.9990697492376227,28,OUT046,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDV38,19.25,0.102349519,Dairy,52.7956,2007,928.1252,train,0.8796766148142439,18,OUT017,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
DRG23,8.88,0.086708987,Hard Drinks,151.7682,1987,762.341,train,0.9327072147064808,38,OUT013,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
NCP30,20.5,0.032835147,Household,40.2822,2002,707.0796,train,1.0010958955480702,23,OUT045,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDY25,12.0,0.033809913,Canned,180.5976,1985,7968.2944,train,1.0101030662789034,40,OUT027,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
NCH54,13.5,0.07266912,Household,160.292,1997,1438.128,train,0.8626517449642818,28,OUT046,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCR53,12.15,0.144338493,Health and Hygiene,224.4404,1985,6976.2524,train,0.8675537170348699,40,OUT027,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDS52,8.89,0.009163216,Frozen Foods,101.7016,1998,101.2016,train,1.464116661542459,27,OUT010,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FDG02,7.855,0.011307038,Canned,188.5188,2009,952.094,train,0.9260469421766652,16,OUT018,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
NCO26,7.235,0.076855628,Household,116.0492,1997,1969.4364,train,0.9296326048503732,28,OUT046,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDH35,18.25,0.059956876,Starchy Foods,165.4526,1985,5262.4832,train,0.9287446507090747,40,OUT027,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDB51,6.92,0.038532062,Dairy,60.5852,2002,1314.2892,train,1.001095885421211,23,OUT045,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDX44,9.3,0.043209581,Fruits and Vegetables,90.8172,2007,535.3032,train,0.9275067689403469,18,OUT017,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
NCN07,18.5,0.056816465,Others,132.1284,1998,263.6568,train,1.4641166640747971,27,OUT010,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NCC31,8.02,0.019866705,Household,154.5972,2004,1402.1748,train,0.871200626611771,21,OUT035,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
NCX54,9.195,0.048331717,Household,105.1622,2007,1693.7952,train,0.9348909809950855,18,OUT017,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
